Nr tygodnia,2016,2017,2018,2019,2020,2021,2022,2023
1,8246,9321,8406,8706,8473,11496,12036,10443
2,7942,10270,8107,8613,8275,10996,10808,9561
3,7702,9902,8663,8740,8091,11038,10020,8647
4,7999,9966,8811,8833,8042,10432,10184,8322
5,8000,10102,9009,9381,8578,9903,10587,8286
6,8160,9464,9118,9303,8363,9950,10718,8286
7,7954,9256,9145,9261,8658,10150,10427,8136
8,7893,9077,9366,8744,8504,9927,9844,8259
9,8015,8408,9898,8653,8487,10185,9241,8291
10,7879,7989,10137,8407,8389,10867,9202,8419
11,7847,7732,9510,8210,8437,11583,8833,8372
12,8049,7665,9089,8056,8338,12633,8913,8232
13,8062,7703,8730,7827,8164,13862,8931,7998
14,7636,7391,8599,7805,8005,13829,8591,7816
15,7540,7468,8239,7719,8012,12815,8474,7731
16,7132,7504,7773,7762,8210,12026,8763,7775
17,7199,7499,7613,8129,7767,11101,8320,7652
18,7425,7416,7394,7522,7770,10103,8240,7509
19,7272,7088,7353,7526,7601,9720,7923,7394
20,6966,7173,7098,7473,7581,8704,7609,7464
21,7270,7110,7336,7615,7576,8264,7504,7524
22,6968,7130,7727,7492,7652,8186,7611,7302
23,6645,6917,7204,7990,7831,8172,7770,7597
24,6821,6868,7061,8286,7763,8371,7491,7140
25,7607,7281,7094,7220,7412,8389,7799,7500
26,6884,7047,7025,7382,7397,7574,8247,6981
27,6625,6737,7378,7097,7668,7684,7099,6848
28,6912,6842,7195,7144,7340,7915,7274,7306
29,6688,7219,7210,7485,7537,7383,8024,6849
30,7291,7029,7707,7692,7595,7852,7681,7219
31,6681,7587,8051,7298,7815,7416,7821,6953
32,6740,6936,7331,7222,7974,7603,7759,6824
33,6837,6886,6893,7001,8102,7434,8494,7820
34,7070,6642,6914,7083,7962,7429,7769,7303
35,7032,7007,6967,7877,7461,7429,7352,6719
36,7007,7009,7211,7002,7584,8105,7764,7117
37,6774,7218,7186,7000,7720,7857,8114,7104
38,6795,7300,7500,7426,8252,8121,8329,7211
39,7373,7559,7431,8032,8245,8177,8881,7241
40,7393,8066,7882,7719,8428,8515,8540,7380
41,7486,7832,7594,7853,9213,8573,8592,7757
42,7681,7632,7561,7836,10246,8888,8295,7911
43,7521,7579,7778,7657,12388,9514,8108,8005
44,7689,7625,7793,7678,14769,9961,7675,8096
45,7525,7378,7644,7648,16265,10794,7669,7988
46,7576,7522,7616,7596,15653,12063,7860,7986
47,7735,7814,7742,7559,14856,12767,8106,8478
48,7787,7598,7952,7720,13642,13418,8163,8791
49,8011,7830,8116,7965,12998,13816,8661,8876
50,7859,7965,7946,7986,12030,13868,9334,8953
51,8321,8038,8190,8250,11648,13747,10219,9159
52,8904,8460,8566,8245,11974,13561,11043,8943